,day_of_week,hour_of_day,num_of_commits,owner,repo
74,3,2,0,eczarny,spectacle
75,3,3,0,eczarny,spectacle
76,3,4,0,eczarny,spectacle
77,3,5,0,eczarny,spectacle
78,3,6,0,eczarny,spectacle
79,3,7,0,eczarny,spectacle
80,3,8,1,eczarny,spectacle
81,3,9,1,eczarny,spectacle
82,3,10,5,eczarny,spectacle
83,3,11,4,eczarny,spectacle
84,3,12,6,eczarny,spectacle
85,3,13,7,eczarny,spectacle
86,3,14,3,eczarny,spectacle
87,3,15,1,eczarny,spectacle
88,3,16,8,eczarny,spectacle
89,3,17,6,eczarny,spectacle
90,3,18,4,eczarny,spectacle
91,3,19,10,eczarny,spectacle
92,3,20,7,eczarny,spectacle
93,3,21,7,eczarny,spectacle
94,3,22,10,eczarny,spectacle
95,3,23,9,eczarny,spectacle
96,4,0,9,eczarny,spectacle
97,4,1,3,eczarny,spectacle
98,4,2,0,eczarny,spectacle
99,4,3,0,eczarny,spectacle
100,4,4,0,eczarny,spectacle
101,4,5,0,eczarny,spectacle
102,4,6,0,eczarny,spectacle
103,4,7,0,eczarny,spectacle
104,4,8,0,eczarny,spectacle
105,4,9,2,eczarny,spectacle
106,4,10,3,eczarny,spectacle
107,4,11,6,eczarny,spectacle
108,4,12,5,eczarny,spectacle
109,4,13,3,eczarny,spectacle
110,4,14,0,eczarny,spectacle
111,4,15,3,eczarny,spectacle
112,4,16,3,eczarny,spectacle
113,4,17,7,eczarny,spectacle
114,4,18,4,eczarny,spectacle
115,4,19,7,eczarny,spectacle
116,4,20,16,eczarny,spectacle
117,4,21,24,eczarny,spectacle
118,4,22,9,eczarny,spectacle
119,4,23,7,eczarny,spectacle
120,5,0,13,eczarny,spectacle
121,5,1,0,eczarny,spectacle
122,5,2,0,eczarny,spectacle
123,5,3,0,eczarny,spectacle
124,5,4,0,eczarny,spectacle
125,5,5,0,eczarny,spectacle
126,5,6,0,eczarny,spectacle
127,5,7,0,eczarny,spectacle
128,5,8,1,eczarny,spectacle
129,5,9,0,eczarny,spectacle
