,a,c,d,contributorName,owner,repo,userType
0,2,1,0,msurguy,jschr,bootstrap-modal,User
0,26,2,27,DigTheDoug,jschr,bootstrap-modal,User
0,2,2,2,jahvi,jschr,bootstrap-modal,User
0,18,2,17,montrezorro,jschr,bootstrap-modal,User
0,3,2,3,gsouf,jschr,bootstrap-modal,User
0,70,6,71,mystix,jschr,bootstrap-modal,User
0,76,8,48,adam-lynch,jschr,bootstrap-modal,User
0,8365,150,5806,jschr,jschr,bootstrap-modal,User
0,1,1,0,Hakon,carrierwaveuploader,carrierwave,User
0,1,1,1,federomero,carrierwaveuploader,carrierwave,User
0,1,1,1,jcfischer,carrierwaveuploader,carrierwave,User
0,11,1,4,jebw,carrierwaveuploader,carrierwave,User
0,2,1,2,syzspectroom,carrierwaveuploader,carrierwave,User
0,7,1,1,adrianpike,carrierwaveuploader,carrierwave,User
0,6,1,2,edmundsalvacion,carrierwaveuploader,carrierwave,User
0,2,2,2,hsbt,carrierwaveuploader,carrierwave,User
0,2,2,2,fredwu,carrierwaveuploader,carrierwave,User
0,79,2,4,chopmo,carrierwaveuploader,carrierwave,User
0,160,2,129,stillwaiting,carrierwaveuploader,carrierwave,User
0,22,2,3,razorjack,carrierwaveuploader,carrierwave,User
0,51,2,45,ngauthier,carrierwaveuploader,carrierwave,User
0,21,2,1,malclocke,carrierwaveuploader,carrierwave,User
0,181,2,83,jeroenvandijk,carrierwaveuploader,carrierwave,User
0,19,2,0,oelmekki,carrierwaveuploader,carrierwave,User
0,2,2,0,thomasfedb,carrierwaveuploader,carrierwave,User
0,18,2,3,jnimety,carrierwaveuploader,carrierwave,User
0,18,2,19,fbjork,carrierwaveuploader,carrierwave,User
0,41,2,1,koic,carrierwaveuploader,carrierwave,User
0,22,2,4,motdotla,carrierwaveuploader,carrierwave,User
0,11,2,9,mattolson,carrierwaveuploader,carrierwave,User
0,57,2,13,chrisroberts,carrierwaveuploader,carrierwave,User
0,18,2,11,neuhausler,carrierwaveuploader,carrierwave,User
0,44,2,11,div,carrierwaveuploader,carrierwave,User
0,28,2,1,scottburton11,carrierwaveuploader,carrierwave,User
0,13,2,19,stephencelis,carrierwaveuploader,carrierwave,User
0,8,2,1,tonycoco,carrierwaveuploader,carrierwave,User
0,114,2,42,shayarnett,carrierwaveuploader,carrierwave,User
0,26,2,1,danielevans,carrierwaveuploader,carrierwave,User
0,76,2,52,dbloete,carrierwaveuploader,carrierwave,User
0,11,2,8,c0,carrierwaveuploader,carrierwave,User
0,84,2,0,ened,carrierwaveuploader,carrierwave,User
0,28,2,10,Arjeno,carrierwaveuploader,carrierwave,User
0,12,2,6,stravid,carrierwaveuploader,carrierwave,User
0,35,2,4,huacnlee,carrierwaveuploader,carrierwave,User
0,24,2,4,cover,carrierwaveuploader,carrierwave,User
0,113,2,3,JangoSteve,carrierwaveuploader,carrierwave,User
0,24,2,10,noniq,carrierwaveuploader,carrierwave,User
0,2,2,2,alpaca-tc,carrierwaveuploader,carrierwave,User
0,18,2,14,rmarescu,carrierwaveuploader,carrierwave,User
0,62,2,4,klacointe,carrierwaveuploader,carrierwave,User
0,9,2,1,matthewford,carrierwaveuploader,carrierwave,User
0,34,2,13,nashby,carrierwaveuploader,carrierwave,User
0,7,2,2,solnic,carrierwaveuploader,carrierwave,User
0,5,2,5,iconara,carrierwaveuploader,carrierwave,User
