owner,repo,weekofyear,stars
jschr,bootstrap-modal,48,7
jschr,bootstrap-modal,49,8
jschr,bootstrap-modal,50,12
jschr,bootstrap-modal,51,5
jschr,bootstrap-modal,52,8
lebinh,ngxtop,1,3
lebinh,ngxtop,2,16
lebinh,ngxtop,3,37
lebinh,ngxtop,4,11
lebinh,ngxtop,5,10
lebinh,ngxtop,6,5
lebinh,ngxtop,7,14
lebinh,ngxtop,8,7
lebinh,ngxtop,9,9
lebinh,ngxtop,10,15
lebinh,ngxtop,11,15
lebinh,ngxtop,12,17
lebinh,ngxtop,13,19
lebinh,ngxtop,14,12
lebinh,ngxtop,15,9
lebinh,ngxtop,16,11
lebinh,ngxtop,17,7
lebinh,ngxtop,18,7
lebinh,ngxtop,19,5
lebinh,ngxtop,20,10
lebinh,ngxtop,21,14
lebinh,ngxtop,22,7
lebinh,ngxtop,23,13
lebinh,ngxtop,24,15
lebinh,ngxtop,25,14
lebinh,ngxtop,26,16
lebinh,ngxtop,27,9
lebinh,ngxtop,28,17
lebinh,ngxtop,29,16
lebinh,ngxtop,30,12
lebinh,ngxtop,31,16
lebinh,ngxtop,32,13
lebinh,ngxtop,33,14
lebinh,ngxtop,34,13
lebinh,ngxtop,35,15
lebinh,ngxtop,36,8
lebinh,ngxtop,37,10
lebinh,ngxtop,38,9
lebinh,ngxtop,39,5
lebinh,ngxtop,40,4
lebinh,ngxtop,41,11
lebinh,ngxtop,42,8
lebinh,ngxtop,43,16
lebinh,ngxtop,44,21
lebinh,ngxtop,45,13
lebinh,ngxtop,46,7
lebinh,ngxtop,47,12
lebinh,ngxtop,48,10
lebinh,ngxtop,49,7
lebinh,ngxtop,50,14
lebinh,ngxtop,51,27
lebinh,ngxtop,52,10
madebymany,sir-trevor-js,1,1
madebymany,sir-trevor-js,2,9
madebymany,sir-trevor-js,3,7
madebymany,sir-trevor-js,4,11
madebymany,sir-trevor-js,5,6
madebymany,sir-trevor-js,6,18
madebymany,sir-trevor-js,7,5
madebymany,sir-trevor-js,8,13
madebymany,sir-trevor-js,9,14
madebymany,sir-trevor-js,10,12
madebymany,sir-trevor-js,11,9
madebymany,sir-trevor-js,12,5
madebymany,sir-trevor-js,13,6
madebymany,sir-trevor-js,14,8
madebymany,sir-trevor-js,15,6
madebymany,sir-trevor-js,16,8
madebymany,sir-trevor-js,17,7
madebymany,sir-trevor-js,18,6
madebymany,sir-trevor-js,19,10
madebymany,sir-trevor-js,20,10
madebymany,sir-trevor-js,21,11
madebymany,sir-trevor-js,22,8
madebymany,sir-trevor-js,23,12
madebymany,sir-trevor-js,24,7
madebymany,sir-trevor-js,25,9
madebymany,sir-trevor-js,26,5
madebymany,sir-trevor-js,27,6
madebymany,sir-trevor-js,28,4
madebymany,sir-trevor-js,29,2
madebymany,sir-trevor-js,30,12
madebymany,sir-trevor-js,31,10
madebymany,sir-trevor-js,32,4
madebymany,sir-trevor-js,33,8
madebymany,sir-trevor-js,34,4
madebymany,sir-trevor-js,35,6
madebymany,sir-trevor-js,36,4
madebymany,sir-trevor-js,37,5
madebymany,sir-trevor-js,38,5
madebymany,sir-trevor-js,39,7
madebymany,sir-trevor-js,40,5
madebymany,sir-trevor-js,41,10
madebymany,sir-trevor-js,42,8
madebymany,sir-trevor-js,43,3
madebymany,sir-trevor-js,44,3
madebymany,sir-trevor-js,45,6
madebymany,sir-trevor-js,46,3
madebymany,sir-trevor-js,47,6
madebymany,sir-trevor-js,48,7
madebymany,sir-trevor-js,49,7
madebymany,sir-trevor-js,50,1
madebymany,sir-trevor-js,51,2
madebymany,sir-trevor-js,52,4
rendrjs,rendr,2,9
rendrjs,rendr,3,16
rendrjs,rendr,4,16
rendrjs,rendr,5,12
rendrjs,rendr,6,9
rendrjs,rendr,7,12
rendrjs,rendr,8,15
rendrjs,rendr,9,11
rendrjs,rendr,10,7
rendrjs,rendr,11,7
rendrjs,rendr,12,9
rendrjs,rendr,13,13
rendrjs,rendr,14,9
rendrjs,rendr,15,10
rendrjs,rendr,16,10
rendrjs,rendr,17,8
rendrjs,rendr,18,5
rendrjs,rendr,19,10
rendrjs,rendr,20,15
rendrjs,rendr,21,10
rendrjs,rendr,22,5
rendrjs,rendr,23,6
rendrjs,rendr,24,10
rendrjs,rendr,25,4
rendrjs,rendr,26,12
rendrjs,rendr,27,9
rendrjs,rendr,28,4
rendrjs,rendr,29,3
rendrjs,rendr,30,4
rendrjs,rendr,31,4
rendrjs,rendr,32,6
rendrjs,rendr,33,6
rendrjs,rendr,34,5
rendrjs,rendr,35,4
rendrjs,rendr,36,4
rendrjs,rendr,37,7
rendrjs,rendr,38,7
rendrjs,rendr,39,3
rendrjs,rendr,40,2
rendrjs,rendr,41,4
rendrjs,rendr,42,5
rendrjs,rendr,43,5
rendrjs,rendr,44,7
rendrjs,rendr,45,3
rendrjs,rendr,46,3
rendrjs,rendr,47,3
rendrjs,rendr,48,4
rendrjs,rendr,49,3
rendrjs,rendr,50,6
rendrjs,rendr,51,3
rendrjs,rendr,52,2
