owner,repo,additions,commits,deletions,weekofyear
eczarny,spectacle,1325,18,1879,31
inconshreveable,ngrok,0,0,0,31
jquery,jquery-ui,33,2,9,31
jschr,bootstrap-modal,0,0,0,31
lebinh,ngxtop,0,0,0,31
madebymany,sir-trevor-js,61,3,3,31
rendrjs,rendr,0,0,0,31
IanLunn,Hover,0,0,0,32
JakeWharton,ViewPagerIndicator,0,0,0,32
carrierwaveuploader,carrierwave,49,2,46,32
eczarny,spectacle,1952,10,1482,32
inconshreveable,ngrok,0,0,0,32
jquery,jquery-ui,0,0,0,32
jschr,bootstrap-modal,0,0,0,32
lebinh,ngxtop,0,0,0,32
madebymany,sir-trevor-js,107,3,106,32
rendrjs,rendr,0,0,0,32
IanLunn,Hover,0,0,0,33
JakeWharton,ViewPagerIndicator,0,0,0,33
carrierwaveuploader,carrierwave,95,1,106,33
eczarny,spectacle,340,13,200,33
inconshreveable,ngrok,0,0,0,33
jquery,jquery-ui,1,1,1,33
jschr,bootstrap-modal,0,0,0,33
lebinh,ngxtop,0,0,0,33
madebymany,sir-trevor-js,0,0,0,33
rendrjs,rendr,0,0,0,33
IanLunn,Hover,0,0,0,34
JakeWharton,ViewPagerIndicator,0,0,0,34
carrierwaveuploader,carrierwave,45,3,3,34
eczarny,spectacle,0,0,0,34
inconshreveable,ngrok,0,0,0,34
jquery,jquery-ui,148,3,36,34
jschr,bootstrap-modal,0,0,0,34
lebinh,ngxtop,0,0,0,34
madebymany,sir-trevor-js,0,0,0,34
rendrjs,rendr,0,0,0,34
IanLunn,Hover,0,0,0,35
JakeWharton,ViewPagerIndicator,0,0,0,35
carrierwaveuploader,carrierwave,2,1,9,35
eczarny,spectacle,0,0,0,35
inconshreveable,ngrok,0,0,0,35
jquery,jquery-ui,80,1,3,35
jschr,bootstrap-modal,0,0,0,35
lebinh,ngxtop,0,0,0,35
madebymany,sir-trevor-js,0,0,0,35
rendrjs,rendr,37,2,1,35
IanLunn,Hover,0,0,0,36
JakeWharton,ViewPagerIndicator,0,0,0,36
carrierwaveuploader,carrierwave,0,0,0,36
eczarny,spectacle,0,0,0,36
inconshreveable,ngrok,0,0,0,36
jquery,jquery-ui,113958,8,25,36
jschr,bootstrap-modal,0,0,0,36
lebinh,ngxtop,0,0,0,36
madebymany,sir-trevor-js,0,0,0,36
rendrjs,rendr,0,0,0,36
IanLunn,Hover,0,0,0,37
JakeWharton,ViewPagerIndicator,0,0,0,37
carrierwaveuploader,carrierwave,0,0,0,37
eczarny,spectacle,0,0,0,37
inconshreveable,ngrok,1,1,1,37
jquery,jquery-ui,12,1,9,37
jschr,bootstrap-modal,0,0,0,37
lebinh,ngxtop,0,0,0,37
madebymany,sir-trevor-js,0,0,0,37
rendrjs,rendr,0,0,0,37
IanLunn,Hover,0,0,0,38
JakeWharton,ViewPagerIndicator,0,0,0,38
carrierwaveuploader,carrierwave,0,0,0,38
eczarny,spectacle,0,0,0,38
inconshreveable,ngrok,0,0,0,38
jquery,jquery-ui,5,1,5,38
jschr,bootstrap-modal,0,0,0,38
lebinh,ngxtop,0,0,0,38
madebymany,sir-trevor-js,0,0,0,38
rendrjs,rendr,0,0,0,38
IanLunn,Hover,0,0,0,39
JakeWharton,ViewPagerIndicator,0,0,0,39
carrierwaveuploader,carrierwave,0,0,0,39
eczarny,spectacle,0,0,0,39
inconshreveable,ngrok,0,0,0,39
jquery,jquery-ui,69,1,4,39
jschr,bootstrap-modal,0,0,0,39
lebinh,ngxtop,0,0,0,39
madebymany,sir-trevor-js,72,7,27,39
rendrjs,rendr,0,0,0,39
IanLunn,Hover,0,0,0,40
JakeWharton,ViewPagerIndicator,0,0,0,40
carrierwaveuploader,carrierwave,0,0,0,40
eczarny,spectacle,0,0,0,40
inconshreveable,ngrok,0,0,0,40
jquery,jquery-ui,0,0,0,40
jschr,bootstrap-modal,0,0,0,40
lebinh,ngxtop,0,0,0,40
madebymany,sir-trevor-js,25,2,9,40
rendrjs,rendr,0,0,0,40
IanLunn,Hover,0,0,0,41
JakeWharton,ViewPagerIndicator,0,0,0,41
carrierwaveuploader,carrierwave,0,0,0,41
eczarny,spectacle,0,0,0,41
inconshreveable,ngrok,0,0,0,41
jquery,jquery-ui,5,1,5,41
jschr,bootstrap-modal,0,0,0,41
lebinh,ngxtop,0,0,0,41
madebymany,sir-trevor-js,1897,3,1981,41
rendrjs,rendr,0,0,0,41
IanLunn,Hover,0,0,0,42
JakeWharton,ViewPagerIndicator,0,0,0,42
carrierwaveuploader,carrierwave,0,0,0,42
eczarny,spectacle,0,0,0,42
inconshreveable,ngrok,0,0,0,42
jquery,jquery-ui,22898,9,2002,42
jschr,bootstrap-modal,0,0,0,42
lebinh,ngxtop,0,0,0,42
madebymany,sir-trevor-js,195,10,49,42
rendrjs,rendr,0,0,0,42
IanLunn,Hover,0,0,0,43
JakeWharton,ViewPagerIndicator,0,0,0,43
carrierwaveuploader,carrierwave,0,0,0,43
eczarny,spectacle,6,1,6,43
inconshreveable,ngrok,0,0,0,43
jquery,jquery-ui,12,2,2,43
jschr,bootstrap-modal,0,0,0,43
lebinh,ngxtop,0,0,0,43
madebymany,sir-trevor-js,308,9,946,43
rendrjs,rendr,0,0,0,43
IanLunn,Hover,0,0,0,44
JakeWharton,ViewPagerIndicator,0,0,0,44
carrierwaveuploader,carrierwave,0,0,0,44
eczarny,spectacle,0,0,0,44
inconshreveable,ngrok,0,0,0,44
jquery,jquery-ui,0,0,0,44
jschr,bootstrap-modal,0,0,0,44
lebinh,ngxtop,0,0,0,44
madebymany,sir-trevor-js,7,3,5,44
rendrjs,rendr,0,0,0,44
IanLunn,Hover,0,0,0,45
JakeWharton,ViewPagerIndicator,0,0,0,45
carrierwaveuploader,carrierwave,0,0,0,45
eczarny,spectacle,0,0,0,45
inconshreveable,ngrok,0,0,0,45
