owner,repo,weekofyear,total_stars
GoogleCloudPlatform,google-cloud-node,2,6
GoogleCloudPlatform,google-cloud-node,3,6
GoogleCloudPlatform,google-cloud-node,4,3
GoogleCloudPlatform,google-cloud-node,5,2
GoogleCloudPlatform,google-cloud-node,6,2
GoogleCloudPlatform,google-cloud-node,7,6
GoogleCloudPlatform,google-cloud-node,8,9
GoogleCloudPlatform,google-cloud-node,9,10
GoogleCloudPlatform,google-cloud-node,10,8
GoogleCloudPlatform,google-cloud-node,11,6
GoogleCloudPlatform,google-cloud-node,12,6
GoogleCloudPlatform,google-cloud-node,14,1
GoogleCloudPlatform,google-cloud-node,15,6
GoogleCloudPlatform,google-cloud-node,16,4
GoogleCloudPlatform,google-cloud-node,17,4
GoogleCloudPlatform,google-cloud-node,18,5
GoogleCloudPlatform,google-cloud-node,19,3
GoogleCloudPlatform,google-cloud-node,20,2
GoogleCloudPlatform,google-cloud-node,21,9
GoogleCloudPlatform,google-cloud-node,22,14
GoogleCloudPlatform,google-cloud-node,23,4
GoogleCloudPlatform,google-cloud-node,24,4
GoogleCloudPlatform,google-cloud-node,25,4
GoogleCloudPlatform,google-cloud-node,26,47
GoogleCloudPlatform,google-cloud-node,27,12
GoogleCloudPlatform,google-cloud-node,28,7
GoogleCloudPlatform,google-cloud-node,29,10
GoogleCloudPlatform,google-cloud-node,30,6
GoogleCloudPlatform,google-cloud-node,31,7
GoogleCloudPlatform,google-cloud-node,32,8
GoogleCloudPlatform,google-cloud-node,33,8
GoogleCloudPlatform,google-cloud-node,34,9
GoogleCloudPlatform,google-cloud-node,35,9
GoogleCloudPlatform,google-cloud-node,36,10
GoogleCloudPlatform,google-cloud-node,37,4
GoogleCloudPlatform,google-cloud-node,38,8
GoogleCloudPlatform,google-cloud-node,39,10
GoogleCloudPlatform,google-cloud-node,40,15
GoogleCloudPlatform,google-cloud-node,41,6
GoogleCloudPlatform,google-cloud-node,42,8
GoogleCloudPlatform,google-cloud-node,43,3
GoogleCloudPlatform,google-cloud-node,44,6
GoogleCloudPlatform,google-cloud-node,45,5
GoogleCloudPlatform,google-cloud-node,46,5
GoogleCloudPlatform,google-cloud-node,47,9
GoogleCloudPlatform,google-cloud-node,48,6
GoogleCloudPlatform,google-cloud-node,49,9
GoogleCloudPlatform,google-cloud-node,50,17
GoogleCloudPlatform,google-cloud-node,51,5
GoogleCloudPlatform,google-cloud-node,52,8
GoogleCloudPlatform,google-cloud-python,2,1
GoogleCloudPlatform,google-cloud-python,3,4
GoogleCloudPlatform,google-cloud-python,4,1
GoogleCloudPlatform,google-cloud-python,5,1
GoogleCloudPlatform,google-cloud-python,6,1
GoogleCloudPlatform,google-cloud-python,7,2
GoogleCloudPlatform,google-cloud-python,8,2
GoogleCloudPlatform,google-cloud-python,9,1
GoogleCloudPlatform,google-cloud-python,10,2
GoogleCloudPlatform,google-cloud-python,11,7
GoogleCloudPlatform,google-cloud-python,12,3
GoogleCloudPlatform,google-cloud-python,15,3
GoogleCloudPlatform,google-cloud-python,16,1
GoogleCloudPlatform,google-cloud-python,17,1
GoogleCloudPlatform,google-cloud-python,18,2
GoogleCloudPlatform,google-cloud-python,19,2
GoogleCloudPlatform,google-cloud-python,20,1
GoogleCloudPlatform,google-cloud-python,21,8
GoogleCloudPlatform,google-cloud-python,22,6
GoogleCloudPlatform,google-cloud-python,23,7
GoogleCloudPlatform,google-cloud-python,24,4
GoogleCloudPlatform,google-cloud-python,25,6
GoogleCloudPlatform,google-cloud-python,26,8
GoogleCloudPlatform,google-cloud-python,27,4
GoogleCloudPlatform,google-cloud-python,28,1
GoogleCloudPlatform,google-cloud-python,29,5
GoogleCloudPlatform,google-cloud-python,30,6
GoogleCloudPlatform,google-cloud-python,31,4
GoogleCloudPlatform,google-cloud-python,32,3
GoogleCloudPlatform,google-cloud-python,33,7
GoogleCloudPlatform,google-cloud-python,34,5
GoogleCloudPlatform,google-cloud-python,35,7
GoogleCloudPlatform,google-cloud-python,36,7
GoogleCloudPlatform,google-cloud-python,37,7
GoogleCloudPlatform,google-cloud-python,38,8
GoogleCloudPlatform,google-cloud-python,39,5
GoogleCloudPlatform,google-cloud-python,40,2
GoogleCloudPlatform,google-cloud-python,41,2
GoogleCloudPlatform,google-cloud-python,42,5
GoogleCloudPlatform,google-cloud-python,43,6
GoogleCloudPlatform,google-cloud-python,44,6
GoogleCloudPlatform,google-cloud-python,45,3
GoogleCloudPlatform,google-cloud-python,46,3
GoogleCloudPlatform,google-cloud-python,47,7
GoogleCloudPlatform,google-cloud-python,48,7
GoogleCloudPlatform,google-cloud-python,49,5
GoogleCloudPlatform,google-cloud-python,50,7
GoogleCloudPlatform,google-cloud-python,51,6
GoogleCloudPlatform,google-cloud-python,52,4
GoogleCloudPlatform,google-cloud-ruby,2,3
GoogleCloudPlatform,google-cloud-ruby,3,2
GoogleCloudPlatform,google-cloud-ruby,5,2
GoogleCloudPlatform,google-cloud-ruby,6,4
GoogleCloudPlatform,google-cloud-ruby,7,1
GoogleCloudPlatform,google-cloud-ruby,9,1
GoogleCloudPlatform,google-cloud-ruby,11,1
GoogleCloudPlatform,google-cloud-ruby,12,1
GoogleCloudPlatform,google-cloud-ruby,16,1
GoogleCloudPlatform,google-cloud-ruby,20,1
GoogleCloudPlatform,google-cloud-ruby,21,5
GoogleCloudPlatform,google-cloud-ruby,22,1
GoogleCloudPlatform,google-cloud-ruby,24,2
GoogleCloudPlatform,google-cloud-ruby,26,1
GoogleCloudPlatform,google-cloud-ruby,27,1
GoogleCloudPlatform,google-cloud-ruby,28,3
GoogleCloudPlatform,google-cloud-ruby,29,2
GoogleCloudPlatform,google-cloud-ruby,30,1
GoogleCloudPlatform,google-cloud-ruby,31,2
GoogleCloudPlatform,google-cloud-ruby,32,19
GoogleCloudPlatform,google-cloud-ruby,33,11
GoogleCloudPlatform,google-cloud-ruby,34,7
GoogleCloudPlatform,google-cloud-ruby,35,6
GoogleCloudPlatform,google-cloud-ruby,36,3
GoogleCloudPlatform,google-cloud-ruby,37,3
GoogleCloudPlatform,google-cloud-ruby,38,2
GoogleCloudPlatform,google-cloud-ruby,39,3
GoogleCloudPlatform,google-cloud-ruby,40,2
GoogleCloudPlatform,google-cloud-ruby,41,2
GoogleCloudPlatform,google-cloud-ruby,42,3
GoogleCloudPlatform,google-cloud-ruby,43,3
GoogleCloudPlatform,google-cloud-ruby,44,2
GoogleCloudPlatform,google-cloud-ruby,45,5
GoogleCloudPlatform,google-cloud-ruby,46,6
GoogleCloudPlatform,google-cloud-ruby,47,3
GoogleCloudPlatform,google-cloud-ruby,49,4
